2021-12-22 15:42:20	scdCo2 : 1009 scdTemperature : 30.71 scdHumidity : 22.89	 bmeTemperature : 32.89 bmePressure : 994.05 bmeHumidity : 18.29 bmeGas : 37.95 bmeAltitude : 161.09
2021-12-22 15:42:26	scdCo2 : 1008 scdTemperature : 30.73 scdHumidity : 22.98	 bmeTemperature : 32.90 bmePressure : 994.04 bmeHumidity : 18.23 bmeGas : 38.12 bmeAltitude : 161.18
2021-12-22 15:42:32	scdCo2 : 1008 scdTemperature : 30.73 scdHumidity : 22.94	 bmeTemperature : 32.89 bmePressure : 994.02 bmeHumidity : 18.22 bmeGas : 38.39 bmeAltitude : 161.26
2021-12-22 15:42:38	scdCo2 : 1008 scdTemperature : 30.74 scdHumidity : 22.96	 bmeTemperature : 32.88 bmePressure : 994.03 bmeHumidity : 18.16 bmeGas : 38.78 bmeAltitude : 161.18
2021-12-22 15:42:43	scdCo2 : 1009 scdTemperature : 30.72 scdHumidity : 22.91	 bmeTemperature : 32.86 bmePressure : 994.04 bmeHumidity : 18.01 bmeGas : 39.28 bmeAltitude : 161.09
2021-12-22 15:42:49	scdCo2 : 1009 scdTemperature : 30.70 scdHumidity : 22.91	 bmeTemperature : 32.86 bmePressure : 994.05 bmeHumidity : 17.87 bmeGas : 39.49 bmeAltitude : 161.18
2021-12-22 15:42:55	scdCo2 : 1010 scdTemperature : 30.70 scdHumidity : 22.85	 bmeTemperature : 32.85 bmePressure : 994.04 bmeHumidity : 17.91 bmeGas : 39.31 bmeAltitude : 161.18
2021-12-22 15:43:01	scdCo2 : 1010 scdTemperature : 30.71 scdHumidity : 22.87	 bmeTemperature : 32.85 bmePressure : 994.04 bmeHumidity : 17.91 bmeGas : 39.68 bmeAltitude : 161.18
2021-12-22 15:43:06	scdCo2 : 1010 scdTemperature : 30.71 scdHumidity : 22.83	 bmeTemperature : 32.88 bmePressure : 994.04 bmeHumidity : 17.86 bmeGas : 39.71 bmeAltitude : 161.09
2021-12-22 15:43:12	scdCo2 : 1011 scdTemperature : 30.75 scdHumidity : 22.76	 bmeTemperature : 32.89 bmePressure : 994.04 bmeHumidity : 17.84 bmeGas : 39.71 bmeAltitude : 161.18
2021-12-22 15:43:18	scdCo2 : 1010 scdTemperature : 30.75 scdHumidity : 22.69	 bmeTemperature : 32.89 bmePressure : 994.05 bmeHumidity : 17.90 bmeGas : 40.31 bmeAltitude : 161.09
2021-12-22 15:43:24	scdCo2 : 1011 scdTemperature : 30.75 scdHumidity : 22.74	 bmeTemperature : 32.89 bmePressure : 994.04 bmeHumidity : 17.95 bmeGas : 40.31 bmeAltitude : 161.18
2021-12-22 15:43:30	scdCo2 : 1010 scdTemperature : 30.79 scdHumidity : 22.68	 bmeTemperature : 32.91 bmePressure : 994.04 bmeHumidity : 18.01 bmeGas : 40.47 bmeAltitude : 161.18
2021-12-22 15:43:35	scdCo2 : 1009 scdTemperature : 30.76 scdHumidity : 22.70	 bmeTemperature : 32.91 bmePressure : 994.04 bmeHumidity : 18.11 bmeGas : 40.82 bmeAltitude : 161.18
2021-12-22 15:43:41	scdCo2 : 1009 scdTemperature : 30.79 scdHumidity : 22.74	 bmeTemperature : 32.93 bmePressure : 994.03 bmeHumidity : 17.95 bmeGas : 40.97 bmeAltitude : 161.18
2021-12-22 15:43:47	scdCo2 : 1008 scdTemperature : 30.77 scdHumidity : 22.72	 bmeTemperature : 32.96 bmePressure : 994.02 bmeHumidity : 17.76 bmeGas : 41.49 bmeAltitude : 161.26
2021-12-22 15:43:53	scdCo2 : 1008 scdTemperature : 30.80 scdHumidity : 22.56	 bmeTemperature : 33.00 bmePressure : 994.03 bmeHumidity : 17.51 bmeGas : 41.69 bmeAltitude : 161.26
2021-12-22 15:43:59	scdCo2 : 1009 scdTemperature : 30.82 scdHumidity : 22.57	 bmeTemperature : 33.03 bmePressure : 994.04 bmeHumidity : 17.34 bmeGas : 41.78 bmeAltitude : 161.09
2021-12-22 15:44:04	scdCo2 : 1009 scdTemperature : 30.84 scdHumidity : 22.52	 bmeTemperature : 33.05 bmePressure : 994.06 bmeHumidity : 17.32 bmeGas : 41.94 bmeAltitude : 160.92
2021-12-22 15:44:10	scdCo2 : 1010 scdTemperature : 30.86 scdHumidity : 22.46	 bmeTemperature : 33.07 bmePressure : 994.07 bmeHumidity : 17.43 bmeGas : 42.15 bmeAltitude : 160.84
2021-12-22 15:44:16	scdCo2 : 1010 scdTemperature : 30.89 scdHumidity : 22.45	 bmeTemperature : 33.09 bmePressure : 994.07 bmeHumidity : 17.66 bmeGas : 41.90 bmeAltitude : 160.92
2021-12-22 15:44:22	scdCo2 : 1011 scdTemperature : 30.91 scdHumidity : 22.42	 bmeTemperature : 33.09 bmePressure : 994.07 bmeHumidity : 17.73 bmeGas : 42.19 bmeAltitude : 161.01
2021-12-22 15:44:28	scdCo2 : 1010 scdTemperature : 30.91 scdHumidity : 22.45	 bmeTemperature : 33.09 bmePressure : 994.05 bmeHumidity : 17.81 bmeGas : 42.52 bmeAltitude : 161.09
